GeneName	HumanOrtholog	HumanTitle
gst-38	HPGDS 	 hematopoietic prostaglandin D synthase
gst-39	HPGDS 	 hematopoietic prostaglandin D synthase
him-4	HMCN1 	 hemicentin 1
hst-6	HS6ST2 	 heparan sulfate 6-O-sulfotransferase 2
hgrs-1	HGS 	 hepatocyte growth factor-regulated tyrosine kinase substrate
nhr-64	HNF4G 	 hepatocyte nuclear factor 4, gamma
hrpf-2	HNRNPH1 	 heterogeneous nuclear ribonucleoprotein H1 (H)
hex-3	HEXDC 	 hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
hex-5	HEXDC 	 hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
hex-2	HEXDC 	 hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing
hex-1	HEXB 	 hexosaminidase B (beta polypeptide)
hid-1	HID1 	 HID1 domain containing
hmg-1.2	HMGB2 	 high mobility group box 2
haly-1	HAL 	 histidine ammonia-lyase
hint-1	HINT1 	 histidine triad nucleotide binding protein 1
hars-1	HARS 	 histidyl-tRNA synthetase
hat-1	HAT1 	 histone acetyltransferase 1
his-31	HIST1H2AI 	 histone cluster 1, H2ai
his-4	HIST1H2BJ 	 histone cluster 1, H2bj
his-11	HIST1H2BJ 	 histone cluster 1, H2bj
his-15	HIST1H2BJ 	 histone cluster 1, H2bj
his-20	HIST1H2BJ 	 histone cluster 1, H2bj
his-22	HIST1H2BJ 	 histone cluster 1, H2bj
his-29	HIST1H2BJ 	 histone cluster 1, H2bj
his-34	HIST1H2BJ 	 histone cluster 1, H2bj
his-41	HIST1H2BJ 	 histone cluster 1, H2bj
his-44	HIST1H2BJ 	 histone cluster 1, H2bj
his-48	HIST1H2BJ 	 histone cluster 1, H2bj
his-52	HIST1H2BJ 	 histone cluster 1, H2bj
his-54	HIST1H2BJ 	 histone cluster 1, H2bj
his-58	HIST1H2BJ 	 histone cluster 1, H2bj
his-62	HIST1H2BJ 	 histone cluster 1, H2bj
his-66	HIST1H2BJ 	 histone cluster 1, H2bj
his-2	HIST1H3J 	 histone cluster 1, H3j
his-6	HIST1H3J 	 histone cluster 1, H3j
his-9	HIST1H3J 	 histone cluster 1, H3j
his-13	HIST1H3J 	 histone cluster 1, H3j
his-17	HIST1H3J 	 histone cluster 1, H3j
his-25	HIST1H3J 	 histone cluster 1, H3j
his-27	HIST1H3J 	 histone cluster 1, H3j
his-32	HIST1H3J 	 histone cluster 1, H3j
his-42	HIST1H3J 	 histone cluster 1, H3j
his-45	HIST1H3J 	 histone cluster 1, H3j
his-49	HIST1H3J 	 histone cluster 1, H3j
his-55	HIST1H3J 	 histone cluster 1, H3j
his-59	HIST1H3J 	 histone cluster 1, H3j
his-63	HIST1H3J 	 histone cluster 1, H3j
his-67	HIST1H4A 	 histone cluster 1, H4a
his-38	HIST1H4C 	 histone cluster 1, H4c
his-60	HIST1H4D 	 histone cluster 1, H4d
his-56	HIST1H4E 	 histone cluster 1, H4e
his-46	HIST1H4H 	 histone cluster 1, H4h
his-14	HIST1H4I 	 histone cluster 1, H4i
his-18	HIST1H4K 	 histone cluster 1, H4k
his-3	HIST2H2AC 	 histone cluster 2, H2ac
his-7	HIST2H2AC 	 histone cluster 2, H2ac
his-12	HIST2H2AC 	 histone cluster 2, H2ac
his-16	HIST2H2AC 	 histone cluster 2, H2ac
his-19	HIST2H2AC 	 histone cluster 2, H2ac
his-21	HIST2H2AC 	 histone cluster 2, H2ac
his-30	HIST2H2AC 	 histone cluster 2, H2ac
his-33	HIST2H2AC 	 histone cluster 2, H2ac
his-35	HIST2H2AC 	 histone cluster 2, H2ac
his-43	HIST2H2AC 	 histone cluster 2, H2ac
his-47	HIST2H2AC 	 histone cluster 2, H2ac
his-51	HIST2H2AC 	 histone cluster 2, H2ac
his-53	HIST2H2AC 	 histone cluster 2, H2ac
his-57	HIST2H2AC 	 histone cluster 2, H2ac
his-61	HIST2H2AC 	 histone cluster 2, H2ac
his-65	HIST2H2AC 	 histone cluster 2, H2ac
his-68	HIST2H2AC 	 histone cluster 2, H2ac
his-64	HIST2H4A 	 histone cluster 2, H4a
his-5	HIST4H4 	 histone cluster 4, H4
hda-3	HDAC1 	 histone deacetylase 1
hda-11	HDAC11 	 histone deacetylase 11
hda-1	HDAC2 	 histone deacetylase 2
hda-6	HDAC6 	 histone deacetylase 6
bpl-1	HLCS 	 holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)
hmbx-1	HMBOX1 	 homeobox containing 1
hgo-1	HGD 	 homogentisate 1,2-dioxygenase
hcf-1	HCFC1 	 host cell factor C1 (VP16-accessory protein)
dnj-15	HSCB 	 HscB mitochondrial iron-sulfur cluster co-chaperone
hipr-1	HIP1 	 huntingtin interacting protein 1
hus-1	HUS1 	 HUS1 checkpoint homolog (S. pombe)
chhy-1	HYAL1 	 hyaluronoglucosaminidase 1
ard-1	HSD17B10 	 hydroxysteroid (17-beta) dehydrogenase 10
let-767	HSD17B12 	 hydroxysteroid (17-beta) dehydrogenase 12
stdh-4	HSD17B12 	 hydroxysteroid (17-beta) dehydrogenase 12
stdh-1	HSD17B12 	 hydroxysteroid (17-beta) dehydrogenase 12
stdh-3	HSD17B12 	 hydroxysteroid (17-beta) dehydrogenase 12
stdh-2	HSD17B12 	 hydroxysteroid (17-beta) dehydrogenase 12
dhs-2	HSD17B6 	 hydroxysteroid (17-beta) dehydrogenase 6
dhs-16	HSD17B6 	 hydroxysteroid (17-beta) dehydrogenase 6
dhs-20	HSD17B6 	 hydroxysteroid (17-beta) dehydrogenase 6
dhs-11	HSD17B8 	 hydroxysteroid (17-beta) dehydrogenase 8
dhs-25	HSD17B8 	 hydroxysteroid (17-beta) dehydrogenase 8
dhs-6	HSDL2 	 hydroxysteroid dehydrogenase like 2
dhs-18	HSDL2 	 hydroxysteroid dehydrogenase like 2
npr-1	HCRTR2 	 hypocretin (orexin) receptor 2
npr-2	HCRTR2 	 hypocretin (orexin) receptor 2
ppfr-4	IGBP1 	 immunoglobulin (CD79A) binding protein 1
immp-1	IMMP1L 	 IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)
immp-2	IMMP2L 	 IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)
imb-3	IPO5 	 importin 5
tag-147	IVNS1ABP 	 influenza virus NS1A binding protein
immt-2	IMMT 	 inner membrane protein, mitochondrial
immt-1	IMMT 	 inner membrane protein, mitochondrial
hap-1	ITPA 	 inosine triphosphatase (nucleoside triphosphate pyrophosphatase)
itr-1	ITPR1 	 inositol 1,4,5-trisphosphate receptor, type 1
ipp-5	INPP5A 	 inositol polyphosphate-5-phosphatase, 40kDa
ocrl-1	INPP5B 	 inositol polyphosphate-5-phosphatase, 75kDa
inos-1	ISYNA1 	 inositol-3-phosphate synthase 1
ttx-7	IMPA1 	 inositol(myo)-1(or 4)-monophosphatase 1
daf-2	IGF1R 	 insulin-like growth factor 1 receptor
pat-4	ILK 	 integrin-linked kinase
ina-1	ITGA6 	 integrin, alpha 6
pat-2	ITGA8 	 integrin, alpha 8
pat-3	ITGB1 	 integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
itsn-1	ITSN1 	 intersectin 1 (SH3 domain protein)
daf-10	IFT122 	 intraflagellar transport 122 homolog (Chlamydomonas)
che-11	IFT140 	 intraflagellar transport 140 homolog (Chlamydomonas)
osm-1	IFT172 	 intraflagellar transport 172 homolog (Chlamydomonas)
dyf-6	IFT46 	 intraflagellar transport 46 homolog (Chlamydomonas)
osm-6	IFT52 	 intraflagellar transport 52 homolog (Chlamydomonas)
che-13	IFT57 	 intraflagellar transport 57 homolog (Chlamydomonas)
ift-74	IFT74 	 intraflagellar transport 74 homolog (Chlamydomonas)
che-2	IFT80 	 intraflagellar transport 80 homolog (Chlamydomonas)
ift-81	IFT81 	 intraflagellar transport 81 homolog (Chlamydomonas)
osm-5	IFT88 	 intraflagellar transport 88 homolog (Chlamydomonas)
mlt-4	INVS 	 inversin
pes-7	IQGAP3 	 IQ motif containing GTPase activating protein 3
lim-7	ISL1 	 ISL LIM homeobox 1
idh-1	IDH1 	 isocitrate dehydrogenase 1 (NADP+), soluble
idha-1	IDH3A 	 isocitrate dehydrogenase 3 (NAD+) alpha
idhb-1	IDH3B 	 isocitrate dehydrogenase 3 (NAD+) beta
idhg-1	IDH3G 	 isocitrate dehydrogenase 3 (NAD+) gamma
idhg-2	IDH3G 	 isocitrate dehydrogenase 3 (NAD+) gamma
iars-1	IARS 	 isoleucyl-tRNA synthetase
iars-2	IARS2 	 isoleucyl-tRNA synthetase 2, mitochondrial
ivd-1	IVD 	 isovaleryl-CoA dehydrogenase
jamp-1	JKAMP 	 JNK1/MAPK8-associated membrane protein
psr-1	JMJD6 	 jumonji domain containing 6
pcaf-1	KAT2B 	 K(lysine) acetyltransferase 2B
mys-1	KAT5 	 K(lysine) acetyltransferase 5
mys-2	KAT8 	 K(lysine) acetyltransferase 8
kal-1	KAL1 	 Kallmann syndrome 1 sequence
imb-1	KPNB1 	 karyopherin (importin) beta 1
ima-3	KPNA4 	 karyopherin alpha 4 (importin alpha 3)
erd-2	KDELR2 	 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
kel-3	KLHL18 	 kelch-like family member 18
kel-1	KLHL3 	 kelch-like family member 3
kel-8	KLHL8 	 kelch-like family member 8
puf-12	KIAA0020 	 KIAA0020
lnp-1	KIAA1715 	 KIAA1715
klp-4	KIF13A 	 kinesin family member 13A
osm-3	KIF17 	 kinesin family member 17
klp-13	KIF19 	 kinesin family member 19
unc-104	KIF1A 	 kinesin family member 1A
zen-4	KIF23 	 kinesin family member 23
klp-7	KIF2C 	 kinesin family member 2C
klp-20	KIF3A 	 kinesin family member 3A
klp-11	KIF3B 	 kinesin family member 3B
klp-19	KIF4A 	 kinesin family member 4A
unc-116	KIF5B 	 kinesin family member 5B
klc-2	KLC1 	 kinesin light chain 1
kap-1	KIFAP3 	 kinesin-associated protein 3
let-60	KRAS 	 Kirsten rat sarcoma viral oncogene homolog
kri-1	KRIT1 	 KRIT1, ankyrin repeat containing
lin-61	L3MBTL2 	 l(3)mbt-like 2 (Drosophila)
mbtr-1	L3MBTL2 	 l(3)mbt-like 2 (Drosophila)
lact-9	LACTB 	 lactamase, beta
ldh-1	LDHA 	 lactate dehydrogenase A
lmn-1	LMNB1 	 lamin B1
ifa-1	LMNB2 	 lamin B2
ifa-3	LMNB2 	 lamin B2
ifa-4	LMNB2 	 lamin B2
ifb-1	LMNB2 	 lamin B2
ifb-2	LMNB2 	 lamin B2
mua-6	LMNB2 	 lamin B2
lam-3	LAMA2 	 laminin, alpha 2
epi-1	LAMA5 	 laminin, alpha 5
lam-1	LAMB2 	 laminin, beta 2 (laminin S)
lam-2	LAMC1 	 laminin, gamma 1 (formerly LAMB2)
lat-1	LPHN2 	 latrophilin 2
ile-2	LMAN2L 	 lectin, mannose-binding 2-like
ile-1	LMAN1 	 lectin, mannose-binding, 1
letm-1	LETM1 	 leucine zipper-EF-hand containing transmembrane protein 1
sma-10	LRIG3 	 leucine-rich repeats and immunoglobulin-like domains 3
lars-1	LARS 	 leucyl-tRNA synthetase
lars-2	LARS2 	 leucyl-tRNA synthetase 2, mitochondrial
lig-1	LIG1 	 ligase I, DNA, ATP-dependent
unc-97	LIMS1 	 LIM and senescent cell antigen-like domains 1
ldb-1	LDB2 	 LIM domain binding 2
lim-6	LMX1B 	 LIM homeobox transcription factor 1, beta
lin-7	LIN7B 	 lin-7 homolog B (C. elegans)
lin-9	LIN9 	 lin-9 homolog (C. elegans)
lipl-7	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-2	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-1	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-4	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-3	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-6	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lipl-5	LIPA 	 lipase A, lysosomal acid, cholesterol esterase
lrp-1	LRP2 	 low density lipoprotein receptor-related protein 2
lsm-1	LSM1 	 LSM1, U6 small nuclear RNA associated
gut-2	LSM2 	 LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)
lsm-3	LSM3 	 LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)
lsm-5	LSM5 	 LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)
lsm-6	LSM6 	 LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)
lsm-7	LSM7 	 LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)
lsm-8	LSM8 	 LSM8 homolog, U6 small nuclear RNA associated (S. cerevisiae)
fshr-1	LHCGR 	 luteinizing hormone/choriogonadotropin receptor
plst-1	LCP1 	 lymphocyte cytosolic protein 1 (L-plastin)
jmjd-2	KDM4A 	 lysine (K)-specific demethylase 4A
rbr-2	KDM5B 	 lysine (K)-specific demethylase 5B
utx-1	KDM6A 	 lysine (K)-specific demethylase 6A
jmjd-5	KDM8 	 lysine (K)-specific demethylase 8
acl-8	LCLAT1 	 lysocardiolipin acyltransferase 1
acl-9	LCLAT1 	 lysocardiolipin acyltransferase 1
bus-18	LCLAT1 	 lysocardiolipin acyltransferase 1
mboa-6	LPCAT3 	 lysophosphatidylcholine acyltransferase 3
acl-14	LPGAT1 	 lysophosphatidylglycerol acyltransferase 1
ath-1	LYPLA1 	 lysophospholipase I
kars-1	KARS 	 lysyl-tRNA synthetase
mab-21	MAB21L1 	 mab-21-like 1 (C. elegans)
mdf-2	MAD2L1 	 MAD2 mitotic arrest deficient-like 1 (yeast)
mag-1	MAGOHB 	 mago-nashi homolog B (Drosophila)
srsx-34	MFSD8 	 major facilitator superfamily domain containing 8
mdh-1	MDH1 	 malate dehydrogenase 1, NAD (soluble)
mdh-2	MDH2 	 malate dehydrogenase 2, NAD (mitochondrial)
men-1	ME3 	 malic enzyme 3, NADP(+)-dependent, mitochondrial
mlcd-1	MLYCD 	 malonyl-CoA decarboxylase
aagr-1	MGAM 	 maltase-glucoamylase (alpha-glucosidase)
aagr-2	MGAM 	 maltase-glucoamylase (alpha-glucosidase)
aman-2	MAN2A2 	 mannosidase, alpha, class 2A, member 2
aman-1	MAN2B1 	 mannosidase, alpha, class 2B, member 1
gly-13	MGAT1 	 mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
gly-14	MGAT1 	 mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
gly-20	MGAT2 	 mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase
gly-2	MGAT5 	 mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase
mnk-1	MKNK2 	 MAP kinase interacting serine/threonine kinase 2
aex-3	MADD 	 MAP-kinase activating death domain
par-1	MARK3 	 MAP/microtubule affinity-regulating kinase 3
pig-1	MELK 	 maternal embryonic leucine zipper kinase
zmp-1	MMP17 	 matrix metallopeptidase 17 (membrane-inserted)
mau-2	MAU2 	 MAU2 sister chromatid cohesion factor
mdt-10	MED10 	 mediator complex subunit 10
mdt-17	MED17 	 mediator complex subunit 17
mdt-18	MED18 	 mediator complex subunit 18
mdt-20	MED20 	 mediator complex subunit 20
sur-2	MED23 	 mediator complex subunit 23
mdt-31	MED31 	 mediator complex subunit 31
mdt-6	MED6 	 mediator complex subunit 6
let-49	MED7 	 mediator complex subunit 7
magi-1	MAGI2 	 membrane associated guanylate kinase, WW and PDZ domain containing 2
mboa-4	MBOAT2 	 membrane bound O-acyltransferase domain containing 2
mboa-3	MBOAT2 	 membrane bound O-acyltransferase domain containing 2
mboa-7	MBOAT7 	 membrane bound O-acyltransferase domain containing 7
6-Mar	6-Mar	 membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase
oga-1	MGEA5 	 meningioma expressed antigen 5 (hyaluronidase)
bmy-1	MESDC2 	 mesoderm development candidate 2
lin-40	MTA3 	 metastasis associated 1 family, member 3
mtx-1	MTX1 	 metaxin 1
mtx-2	MTX2 	 metaxin 2
sams-5	MAT2A 	 methionine adenosyltransferase II, alpha
sams-1	MAT2A 	 methionine adenosyltransferase II, alpha
sams-3	MAT2A 	 methionine adenosyltransferase II, alpha
sams-4	MAT2A 	 methionine adenosyltransferase II, alpha
map-1	METAP1 	 methionyl aminopeptidase 1
mthf-1	MTHFR 	 methylenetetrahydrofolate reductase (NAD(P)H)
mmaa-1	MMAA 	 methylmalonic aciduria (cobalamin deficiency) cblA type
cblc-1	MMACHC 	 methylmalonic aciduria (cobalamin deficiency) cblC type, with homocystinuria
mce-1	MCEE 	 methylmalonyl CoA epimerase
mmcm-1	MUT 	 methylmalonyl CoA mutase
mett-10	METTL16 	 methyltransferase like 16
mvk-1	MVK 	 mevalonate kinase
mfap-1	MFAP1 	 microfibrillar-associated protein 1
lgg-2	MAP1LC3A 	 microtubule-associated protein 1 light chain 3 alpha
mcm-2	MCM2 	 minichromosome maintenance complex component 2
mcm-4	MCM4 	 minichromosome maintenance complex component 4
mcm-5	MCM5 	 minichromosome maintenance complex component 5
mcm-7	MCM7 	 minichromosome maintenance complex component 7
mcu-1	MCU 	 mitochondrial calcium uniporter
micu-1	MICU1 	 mitochondrial calcium uptake 1
mtch-1	MTCH2 	 mitochondrial carrier 2
mtp-18	MTFP1 	 mitochondrial fission process 1
mrpl-11	MRPL11 	 mitochondrial ribosomal protein L11
mrpl-12	MRPL12 	 mitochondrial ribosomal protein L12
mrpl-13	MRPL13 	 mitochondrial ribosomal protein L13
mrpl-15	MRPL15 	 mitochondrial ribosomal protein L15
mrpl-16	MRPL16 	 mitochondrial ribosomal protein L16
mrpl-19	MRPL19 	 mitochondrial ribosomal protein L19
mrpl-2	MRPL2 	 mitochondrial ribosomal protein L2
mrpl-22	MRPL22 	 mitochondrial ribosomal protein L22
mrpl-24	MRPL24 	 mitochondrial ribosomal protein L24
mrpl-28	MRPL28 	 mitochondrial ribosomal protein L28
mrps-18C	MRPL3 	 mitochondrial ribosomal protein L3
mrpl-4	MRPL4 	 mitochondrial ribosomal protein L4
mrpl-40	MRPL40 	 mitochondrial ribosomal protein L40
mrpl-34	MRPL43 	 mitochondrial ribosomal protein L43
mrpl-46	MRPL46 	 mitochondrial ribosomal protein L46
mrps-10	MRPS10 	 mitochondrial ribosomal protein S10
mrps-12	MRPS12 	 mitochondrial ribosomal protein S12
mrps-16	MRPS16 	 mitochondrial ribosomal protein S16
mrps-2	MRPS2 	 mitochondrial ribosomal protein S2
mrps-22	MRPS22 	 mitochondrial ribosomal protein S22
mrps-24	MRPS24 	 mitochondrial ribosomal protein S24
mrps-25	MRPS25 	 mitochondrial ribosomal protein S25
mrps-35	MRPS35 	 mitochondrial ribosomal protein S35
mrps-5	MRPS5 	 mitochondrial ribosomal protein S5
mrps-7	MRPS7 	 mitochondrial ribosomal protein S7
mrps-9	MRPS9 	 mitochondrial ribosomal protein S9
mecr-1	MECR 	 mitochondrial trans-2-enoyl-CoA reductase
fzo-1	MFN2 	 mitofusin 2
mpk-1	MAPK1 	 mitogen-activated protein kinase 1
pmk-1	MAPK14 	 mitogen-activated protein kinase 14
jnk-1	MAPK8 	 mitogen-activated protein kinase 8
mek-2	MAP2K1 	 mitogen-activated protein kinase kinase 1
sek-1	MAP2K6 	 mitogen-activated protein kinase kinase 6
mek-1	MAP2K7 	 mitogen-activated protein kinase kinase 7
gck-2	MAP4K3 	 mitogen-activated protein kinase kinase kinase kinase 3
mak-2	MAPKAPK3 	 mitogen-activated protein kinase-activated protein kinase 3
mnat-1	MNAT1 	 MNAT CDK-activating kinase assembly factor 1
erm-1	MSN 	 moesin
mocs-1	MOCOS 	 molybdenum cofactor sulfurase
moc-3	MOCS3 	 molybdenum cofactor synthesis 3
sand-1	MON1A 	 MON1 secretory trafficking family member A
mon-2	MON2 	 MON2 homolog (S. cerevisiae)
dgtr-1	MOGAT2 	 monoacylglycerol O-acyltransferase 2
hpo-28	MOSPD2 	 motile sperm domain containing 2
mre-11	MRE11A 	 MRE11 meiotic recombination 11 homolog A (S. cerevisiae)
cup-5	MCOLN3 	 mucolipin 3
ced-1	MEGF11 	 multiple EGF-like-domains 11
mvb-12	MVB12B 	 multivesicular body subunit 12B
ras-2	MRAS 	 muscle RAS oncogene homolog
him-14	MSH4 	 mutS homolog 4
msh-5	MSH5 	 mutS homolog 5
msh-6	MSH6 	 mutS homolog 6
rpm-1	MYCBP2 	 MYC binding protein 2, E3 ubiquitin protein ligase
afd-1	MLLT4 	 myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4
hum-5	MYO1D 	 myosin ID
hum-1	MYO1E 	 myosin IE
mlc-1	MYLPF 	 myosin light chain, phosphorylatable, fast skeletal muscle
mlc-2	MYLPF 	 myosin light chain, phosphorylatable, fast skeletal muscle
hum-2	MYO5A 	 myosin VA (heavy chain 12, myoxin)
hum-8	MYO6 	 myosin VI
spe-15	MYO6 	 myosin VI
hum-6	MYO7B 	 myosin VIIB
nmy-1	MYH10 	 myosin, heavy chain 10, non-muscle
myo-1	MYH7B 	 myosin, heavy chain 7B, cardiac muscle, beta
myo-3	MYH7B 	 myosin, heavy chain 7B, cardiac muscle, beta
unc-54	MYH7B 	 myosin, heavy chain 7B, cardiac muscle, beta
myo-5	MYH7B 	 myosin, heavy chain 7B, cardiac muscle, beta
mlc-4	MYL12B 	 myosin, light chain 12B, regulatory
mlc-5	MYL6 	 myosin, light chain 6, alkali, smooth muscle and non-muscle
mtm-1	MTM1 	 myotubularin 1
mtm-6	MTMR8 	 myotubularin related protein 8
mtm-9	MTMR9 	 myotubularin related protein 9
gana-1	NAGA 	 N-acetylgalactosaminidase, alpha-
nath-10	NAT10 	 N-acetyltransferase 10 (GCN5-related)
nape-2	NAPEPLD 	 N-acyl phosphatidylethanolamine phospholipase D
nape-1	NAPEPLD 	 N-acyl phosphatidylethanolamine phospholipase D
asah-1	ASAH1 	 N-acylsphingosine amidohydrolase (acid ceramidase) 1
hst-1	NDST2 	 N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
nsf-1	NSF 	 N-ethylmaleimide-sensitive factor
snap-1	NAPA 	 N-ethylmaleimide-sensitive factor attachment protein, alpha
png-1	NGLY1 	 N-glycanase 1
nmt-1	NMT2 	 N-myristoyltransferase 2
homt-1	NTMT1 	 N-terminal Xaa-Pro-Lys N-methyltransferase 1
hpo-29	NAA16 	 N(alpha)-acetyltransferase 16, NatA auxiliary subunit
cra-1	NAA25 	 N(alpha)-acetyltransferase 25, NatB auxiliary subunit
nuo-4	NDUFA10 	 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
nuaf-1	NDUFAF1 	 NADH dehydrogenase (ubiquinone) complex I, assembly factor 1
nuaf-3	NDUFAF3 	 NADH dehydrogenase (ubiquinone) complex I, assembly factor 3
nuo-5	NDUFS1 	 NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)
gas-1	NDUFS2 	 NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)
nduf-2.2	NDUFS2 	 NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)
nuo-2	NDUFS3 	 NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase)
lpd-5	NDUFS4 	 NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)
nduf-6	NDUFS6 	 NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)
nduf-7	NDUFS7 	 NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)
nuo-1	NDUFV1 	 NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa
fre-1	NDOR1 	 NADPH dependent diflavin oxidoreductase 1
gcy-28	NPR2 	 natriuretic peptide receptor 2
nck-1	NCK2 	 NCK adaptor protein 2
gex-3	NCKAP1 	 NCK-associated protein 1
lit-1	NLK 	 nemo-like kinase
nphp-4	NPHP4 	 nephronophthisis 4
unc-6	NTN1 	 netrin 1
ncam-1	NCAM1 	 neural cell adhesion molecule 1
ned-8	NEDD8 	 neural precursor cell expressed, developmentally down-regulated 8
nrx-1	NRXN1 	 neurexin 1
sel-2	NBEA 	 neurobeachin
lpd-2	NGDN 	 neuroguidin, EIF4E binding protein
nlg-1	NLGN4Y 	 neuroligin 4, Y-linked
nmur-1	NMUR2 	 neuromedin U receptor 2
ncs-1	NCS1 	 neuronal calcium sensor 1
lad-2	NRCAM 	 neuronal cell adhesion molecule
cnd-1	NEUROD6 	 neuronal differentiation 6
npr-11	LOC100996758 	 neuropeptide Y receptor type 4-like
npr-12	LOC100996758 	 neuropeptide Y receptor type 4-like
npr-7	NPY1R 	 neuropeptide Y receptor Y1
npr-6	NPY2R 	 neuropeptide Y receptor Y2
neto-1	NETO2 	 neuropilin (NRP) and tolloid (TLL)-like 2
trcs-1	NCEH1 	 neutral cholesterol ester hydrolase 1
lpd-8	NFU1 	 NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)
nra-2	NCLN 	 nicalin
aph-2	NCSTN 	 nicastrin
nnt-1	NNT 	 nicotinamide nucleotide transhydrogenase
nekl-3	NEK7 	 NIMA-related kinase 7
nprl-2	NPRL2 	 nitrogen permease regulator-like 2 (S. cerevisiae)
nprl-3	NPRL3 	 nitrogen permease regulator-like 3 (S. cerevisiae)
ndk-1	NME1-NME2 	 NME1-NME2 readthrough
nra-4	NOMO2 	 NODAL modulator 2
nipa-1	NIPA2 	 non imprinted in Prader-Willi/Angelman syndrome 2
nol-5	NOP58 	 NOP58 ribonucleoprotein
nth-1	NTHL1 	 nth endonuclease III-like 1 (E. coli)
ncbp-1	NCBP1 	 nuclear cap binding protein subunit 1, 80kDa
npl-4.1	NPLOC4 	 nuclear protein localization 4 homolog (S. cerevisiae)
npl-4.2	NPLOC4 	 nuclear protein localization 4 homolog (S. cerevisiae)
nxf-1	NXF1 	 nuclear RNA export factor 1
nxf-2	NXF1 	 nuclear RNA export factor 1
nfx-1	NFX1 	 nuclear transcription factor, X-box binding 1
ran-4	NUTF2 	 nuclear transport factor 2
mac-1	NVL 	 nuclear VCP-like
nucb-1	NUCB2 	 nucleobindin 2
pro-2	NOC2L 	 nucleolar complex associated 2 homolog (S. cerevisiae)
nol-10	NOL10 	 nucleolar protein 10
npp-8	NUP155 	 nucleoporin 155kDa
npp-12	NUP210 	 nucleoporin 210kDa
npp-2	NUP85 	 nucleoporin 85kDa
npp-13	NUP93 	 nucleoporin 93kDa
trx-5	NXNL2 	 nucleoredoxin-like 2
trx-3	NXNL2 	 nucleoredoxin-like 2
nap-1	NAP1L4 	 nucleosome assembly protein 1-like 4
nud-1	NUDC 	 nudC nuclear distribution protein
ndx-9	NUDT13 	 nudix (nucleoside diphosphate linked moiety X)-type motif 13
ndx-7	NUDT19 	 nudix (nucleoside diphosphate linked moiety X)-type motif 19
ndx-4	NUDT2 	 nudix (nucleoside diphosphate linked moiety X)-type motif 2
cfim-1	NUDT21 	 nudix (nucleoside diphosphate linked moiety X)-type motif 21
ndx-2	NUDT5 	 nudix (nucleoside diphosphate linked moiety X)-type motif 5
ndx-3	NUDT8 	 nudix (nucleoside diphosphate linked moiety X)-type motif 8
ndx-6	NUDT9 	 nudix (nucleoside diphosphate linked moiety X)-type motif 9
ogt-1	OGT 	 O-linked N-acetylglucosamine (GlcNAc) transferase
